numRows,numCols,matrixSize,Frobenius_norm,mean-time(ms),median-time(ms),std-deviation(ms)
194,515463,99999822,5240584.500000,0.880090,0.869989,0.031981
650,214607,139494550,5124079.000000,1.262578,1.252174,0.031034
841,231377,194588057,7584825.000000,1.815709,1.806974,0.034211
667,406959,271441653,5850913.500000,2.621456,2.615929,0.039729
258,1467627,378647766,6052587.500000,3.665881,3.660917,0.021537
993,531918,528194574,7150804.500000,5.289273,5.284071,0.026474
938,785507,736805566,9812423.000000,7.550283,7.549047,0.027469
838,1226501,1027807838,12661893.000000,10.716698,10.715008,0.033798
115,12467324,1433742260,19174238.000000,15.134356,15.121937,0.035949
571,3502626,1999999446,14367718.000000,21.342278,21.344185,0.025221
