N,BlockSpeedup,WarpSpeedup
100,1.2237136465130423,1.247434435569708
150,0.9865689865747646,0.9129943502695265
225,1.0157384988079423,0.9665898617610111
337,1.0035629453766963,0.9526493799239119
505,0.9915151515138637,0.9191011236113489
757,0.9857768052349624,1.033256880724358
1135,1.018952062440874,1.0362811791365427
1702,1.0413870246379417,1.0264608599894463
2553,1.0372736954266777,1.0598476605256186
3829,1.1028138527721885,1.1148796498583375
5743,1.1167192428885875,1.1178947368131704
8614,1.173160173142189,1.4233193277577676
12921,0.9034188034137478,1.1149789029682176
19381,1.1279512566872507,1.5524109014869212
29071,0.9475655430625319,1.5333333333426538
43606,1.103779628453265,1.383935742980728
65409,0.9962732919166375,1.0062735257267577
98113,1.0534100246386628,0.9899613899494225
147169,1.017470300520103,1.0304317056199421
220753,1.0390301596519902,1.027485380110269
331129,1.0316901408270107,1.0
496693,1.0220138605744895,1.0174512986988897
745039,1.1263978312410976,1.1094793057331338
1117558,1.0069930070013375,0.998666311021313
1676337,0.9946705426379331,0.997328151567818
2514505,1.0,0.9985265225898253
3771757,1.0060889929706607,1.0032695002341145
5657635,0.9517632752339863,1.02555143044346
8486452,1.0488188976386248,1.0379894798366156
10000000,1.1170252225529698,1.0493031358903304
90000000,1.1670151681107739,1.1655451320977939
170000000,1.228955072830317,1.2293105318344926
250000000,1.2821723877173998,1.273614993411926
330000000,1.312039703909391,1.320700727169634
410000000,1.3044168209469422,1.321037728629261
490000000,1.312556188192995,1.3448388355476075
570000000,1.31090721062004,1.3699704998482514
650000000,1.3207310024679322,1.391936185642016
730000000,1.3152096416213175,1.4072918327853876
810000000,1.3072684156767824,1.422940865481769
890000000,1.3049530477944074,1.4389886807970849
970000000,1.2996151987750992,1.4541688379364615
1050000000,1.3008453345836395,1.4611763856118947
1130000000,1.286801552038635,1.4685765213042474
1210000000,1.282221053204429,1.4721594518323515
1290000000,1.2809189114694313,1.4800726146669827
1370000000,1.2795751708677083,1.487271887271792
1450000000,1.2760573524856667,1.4820159631758398
1530000000,1.2674941274903015,1.4986537247637988
1610000000,1.268876574708943,1.5013620443636944
1690000000,1.266351560923939,1.5027277436874547
1770000000,1.2626023091897578,1.509020858053656
1850000000,1.2572841360748748,1.5123061339027946
1930000000,1.2549862516057775,1.5191896534171363
1950000000,1.2575819360499785,1.5147553473443212
1990000000,1.257127046345373,1.514423985003757
